Date,Open,High,Low,Close,Adj Close,Volume
1998-01-07,17250000,17375000,17250000,17375000,16137123,30600
1998-01-08,17750000,17750000,17250000,17500000,16253212,2500
1998-01-09,17625000,17625000,16875000,16875000,15672745,11900
1998-01-12,16000000,17125000,16000000,16937500,15730788,17300
1998-01-13,16750000,17250000,16750000,17250000,16021025,3000
1998-01-14,16750000,16750000,16625000,16750000,15556649,8500
1998-01-15,16812500,17250000,16750000,16750000,15556649,10100
1998-01-16,17250000,17250000,16500000,16937500,15730788,110800
1998-01-20,17125000,17750000,17000000,17500000,16253212,27100
1998-01-21,17750000,17750000,17250000,17375000,16137123,7100
1998-01-22,17250000,17500000,17250000,17500000,16253212,2200
1998-01-23,17000000,17125000,17000000,17125000,15904932,1200
1998-01-26,17125000,17750000,17125000,17125000,15904932,3700
1998-01-27,17250000,17437500,17125000,17125000,15904932,18200
1998-01-28,17000000,17125000,16875000,17000000,15788838,14400
1998-01-29,17125000,17125000,17000000,17125000,15904932,11400
1998-01-30,17187500,17375000,17000000,17000000,15788838,5200
1998-02-02,17375000,17375000,17000000,17000000,15788838,2900
1998-02-03,17000000,17375000,17000000,17125000,15904932,19300
1998-02-04,17250000,17375000,17125000,17375000,16137123,4200
1998-02-05,17125000,17500000,17125000,17125000,15904932,7300
1998-02-06,17250000,17375000,17125000,17375000,16137123,20800
1998-02-09,17250000,17875000,17250000,17750000,16485405,19100
1998-02-10,17750000,19625000,17750000,19093700,17733370,43600
1998-02-11,19125000,19125000,18625000,18625000,17298063,27500
1998-02-12,18625000,19500000,18500000,19000000,17646347,32600
1998-02-13,19375000,19750000,19125000,19500000,18110723,38700
1998-02-17,19625000,19750000,19250000,19250000,17878536,31600
1998-02-18,19250000,19312500,18875000,19000000,17646347,21600
1998-02-19,19000000,19375000,19000000,19375000,17994629,29100
1998-02-20,19375000,20000000,19250000,20000000,18575102,17300
1998-02-23,19375000,19375000,19250000,19375000,17994629,4600
1998-02-24,19250000,20000000,19250000,20000000,18575102,17900
1998-02-25,20000000,20000000,19375000,19562500,18168772,5100
1998-02-26,19437500,20000000,19375000,20000000,18575102,20000
